日期,开盘,收盘,最高,最低,周成交量
2025-07-25,10.16,10.15,10.29,10.12,361444704
2025-08-01,10.19,9.98,10.25,9.91,188187655
2025-08-08,9.84,9.9,10.1,9.78,103629137
2025-08-15,9.93,10.21,10.34,9.79,188983602
2025-08-22,10.23,10.32,10.38,10.05,128643324
2025-08-29,10.5,10.26,10.66,10.03,190375083
2025-09-05,10.49,10.46,10.67,10.2,153241055
2025-09-12,10.46,10.86,11.0,10.42,162524362
2025-09-19,10.86,11.22,11.63,10.86,183380044
2025-09-26,11.22,11.46,11.74,11.05,163508081
2025-09-30,11.41,11.78,11.78,11.4,51186611
2025-10-10,11.91,11.3,11.96,11.28,82350843
2025-10-17,10.86,10.44,11.19,10.42,225249097
2025-10-24,10.69,10.87,10.98,10.51,124425535
2025-10-31,11.05,10.69,11.09,10.67,106476914
2025-11-07,10.69,10.44,10.7,10.19,77780743
2025-11-14,10.4,10.52,10.83,10.4,67929895
2025-11-21,10.49,9.82,10.54,9.73,88392730
2025-11-28,9.86,10.09,10.26,9.78,87187138
2025-12-05,10.05,10.13,10.17,9.88,67184547
2025-12-12,10.13,10.06,10.18,9.85,76285155
2025-12-19,9.97,9.75,9.97,9.52,64589354
2025-12-26,9.78,9.75,9.87,9.66,29591332
2025-12-31,9.76,9.59,9.84,9.58,27579339
2026-01-09,9.8,9.87,10.11,9.78,86991273
2026-01-16,9.91,10.17,10.37,9.88,104144106
2026-01-22,10.12,9.95,10.12,9.8,52399506
