日期,开盘,收盘,最高,最低,周成交量
2015-09-02,12.95,12.4,13.97,12.4,10539235
2015-09-11,12.67,14.81,15.48,12.51,60395536
2015-09-18,14.9,13.52,14.96,12.0,50871230
2015-09-22,13.08,13.98,14.4,13.08,22677145
2015-09-30,15.38,15.38,15.38,15.01,6795007
2015-10-09,16.92,15.61,16.92,15.39,30829317
2015-10-16,15.58,16.98,17.25,15.58,74637384
2015-10-23,16.99,18.04,18.55,16.02,80745564
2015-10-30,18.5,17.95,19.32,17.0,58025330
2015-11-06,17.4,21.14,22.0,17.01,79573235
2015-11-13,22.5,28.7,32.0,22.46,133053811
2015-11-20,28.01,29.92,31.93,26.57,214200154
2015-11-27,28.78,33.65,36.6,27.98,198655129
2015-12-04,34.1,29.55,35.44,28.7,158271499
2015-12-11,30.12,26.69,31.92,26.69,118055928
2015-12-18,26.1,29.5,30.3,25.2,101114548
2015-12-25,29.45,29.94,30.55,27.8,70589391
2015-12-31,29.94,30.8,33.54,28.8,95959311
2016-01-08,30.89,24.27,31.39,23.0,71292569
2016-01-15,23.5,22.47,23.99,20.0,67776458
2016-01-22,22.39,22.97,24.43,21.51,65818302
2016-01-29,23.0,19.7,23.95,18.9,57551506
2016-02-05,19.99,20.93,22.09,19.31,60071629
2016-02-19,20.3,25.57,26.99,19.81,94678306
2016-02-26,25.57,24.55,28.8,23.9,133697081
2016-03-04,24.4,23.18,26.49,21.08,119252845
2016-03-11,23.73,21.62,24.48,21.2,67881292
2016-03-18,22.46,24.73,25.4,21.8,89986992
2016-03-25,25.0,24.92,26.39,24.63,101302493
2016-04-01,25.38,24.07,26.48,23.4,89415188
2016-04-08,24.0,23.35,25.67,22.76,62048074
2016-04-15,23.88,24.86,24.93,23.1,69420581
2016-04-22,24.63,21.48,24.63,20.72,52410421
2016-04-29,21.47,20.33,21.8,19.96,36989621
2016-05-06,20.48,20.58,22.39,20.4,44420733
2016-05-13,20.12,17.37,20.13,16.66,36929430
2016-05-20,17.6,17.59,18.31,16.75,33862203
2016-05-27,17.88,17.7,18.49,16.74,39785016
2016-06-03,17.63,20.09,20.8,17.03,66466819
