日期,开盘,收盘,最高,最低,周成交量
2021-01-08,10.36,10.54,10.62,10.35,142109600
2021-01-15,10.59,10.51,10.9,10.32,468060685
2021-01-22,10.47,10.94,11.1,10.41,357257500
2021-01-29,10.83,10.21,11.0,10.03,370188500
2021-02-05,10.24,10.0,10.57,9.96,233796300
2021-02-10,10.01,10.53,10.55,9.98,118531500
2021-02-19,10.62,10.53,10.71,10.32,104600800
2021-02-26,10.52,9.72,10.52,9.6,219068400
2021-03-05,9.78,9.68,9.99,9.46,164221900
2021-03-12,9.73,9.1,9.83,8.97,141166300
2021-03-19,9.07,8.84,9.07,8.67,141726500
2021-03-26,8.8,8.99,9.02,8.6,115681700
2021-04-02,8.99,9.29,9.32,8.84,103573300
2021-04-09,9.34,9.07,9.39,9.03,66879900
2021-04-16,9.06,9.09,9.13,8.79,66765500
2021-04-23,9.39,9.3,9.65,9.18,269198300
2021-04-30,9.3,9.24,9.43,9.09,160681068
2021-05-07,9.25,8.89,9.3,8.87,66951000
2021-05-14,8.89,8.82,8.89,8.51,161857600
2021-05-21,8.82,9.19,9.36,8.82,198162946
2021-05-28,9.18,9.61,9.71,9.12,217460577
2021-06-04,9.63,9.75,9.91,9.6,169693600
2021-06-11,9.74,9.96,10.09,9.73,167267200
2021-06-18,9.94,10.06,10.1,9.61,119248800
2021-06-25,10.02,10.35,10.49,9.92,156505500
2021-07-02,10.33,10.44,10.85,10.32,176338302
2021-07-09,10.45,10.86,10.91,10.42,152540100
2021-07-16,10.91,10.49,11.12,10.42,133491498
2021-07-23,10.41,10.59,10.9,10.35,125773600
2021-07-30,10.51,10.65,10.7,9.89,145050301
2021-08-06,10.68,11.06,11.28,10.66,155084508
2021-08-13,11.0,10.79,11.0,10.71,74226100
2021-08-20,10.68,10.37,10.78,10.16,100368353
2021-08-27,10.36,10.45,10.71,10.27,78584761
2021-09-03,10.45,10.07,10.59,10.02,70713600
2021-09-10,10.07,10.22,10.41,10.0,81508300
2021-09-17,10.22,9.79,10.25,9.64,82775700
2021-09-24,9.79,9.83,9.92,9.62,35181000
2021-09-30,9.86,9.77,9.99,9.62,55505201
2021-10-08,9.78,9.93,10.0,9.78,14202500
2021-10-15,9.95,10.41,10.44,9.9,78270902
2021-10-22,10.41,10.36,10.46,10.25,68613000
2021-10-29,10.33,10.8,10.82,10.33,113401800
2021-11-05,10.81,11.26,11.39,10.72,136508100
2021-11-12,11.1,11.44,11.45,11.06,95892816
2021-11-19,11.58,11.66,11.76,11.29,143584200
