日期,开盘,收盘,最高,最低,周成交量
2021-01-22,9.11,9.25,9.59,9.11,6596449
2021-01-29,9.31,8.72,9.31,8.7,2832727
2021-02-05,8.72,8.59,8.88,8.52,1911494
2021-02-10,8.52,8.73,8.78,8.48,1007121
2021-02-19,8.89,8.96,8.98,8.74,1305232
2021-02-26,8.97,8.67,9.04,8.61,3379540
2021-03-05,8.5,8.57,8.81,8.48,1426622
2021-03-12,8.59,8.37,8.73,8.26,1290492
2021-03-19,8.28,8.19,8.37,8.16,971939
2021-03-26,8.19,8.3,8.39,8.18,701951
2021-04-02,8.21,8.24,8.47,8.17,724390
2021-04-09,8.23,8.18,8.24,8.1,926781
2021-04-16,8.11,7.97,8.13,7.92,982421
2021-04-23,7.95,8.05,8.15,7.95,1306281
2021-04-30,8.03,8.02,8.09,7.81,2165894
2021-05-07,8.03,7.81,8.03,7.79,1221102
2021-05-14,7.82,8.28,8.29,7.7,1774092
2021-05-21,8.28,8.14,8.3,8.06,1655686
2021-05-28,8.14,8.69,8.8,8.14,2824433
2021-06-04,8.58,8.42,8.8,8.26,2480906
2021-06-11,8.39,8.28,8.53,8.22,1367577
2021-06-18,8.3,8.19,8.35,8.09,1083845
2021-06-25,8.19,8.41,8.45,8.1,1726609
2021-07-02,8.38,8.0,8.8,7.93,2870569
2021-07-09,8.0,8.0,8.1,7.8,1140630
2021-07-16,8.0,8.02,8.14,7.88,1884594
2021-07-23,7.96,8.15,8.29,7.88,1517586
2021-07-30,8.1,7.54,8.13,7.5,3348030
2021-08-06,7.5,7.71,7.99,7.49,1208107
2021-08-13,7.88,7.89,8.04,7.72,2101551
2021-08-20,7.89,8.16,8.43,7.89,3169125
2021-08-27,8.2,8.11,8.33,8.08,1500203
2021-09-03,8.19,8.47,8.78,7.92,3656625
2021-09-10,8.47,8.81,9.03,8.44,4738036
2021-09-17,8.81,8.5,8.94,8.4,1699879
2021-09-24,8.5,8.41,8.59,8.32,648681
2021-09-30,8.41,8.25,8.49,8.16,1582742
2021-10-08,8.03,8.4,8.49,8.03,344310
2021-10-15,8.4,8.18,8.48,8.12,727174
2021-10-22,8.25,8.32,8.38,8.11,568803
2021-10-29,8.27,8.08,8.38,8.01,632618
2021-11-05,8.08,7.99,8.15,7.9,817159
2021-11-12,7.93,8.2,8.26,7.9,903728
2021-11-19,8.17,8.16,8.22,8.03,668997
2021-11-26,8.07,8.11,8.27,8.06,611190
2021-12-03,8.05,8.17,8.19,8.0,516064
2021-12-10,8.19,8.47,8.63,8.18,2817981
2021-12-17,8.43,8.47,8.72,8.4,2143602
2021-12-24,8.4,8.35,8.56,8.23,926731
2021-12-31,8.31,8.42,8.54,8.28,487985
2022-01-07,8.46,8.29,8.46,8.21,1472707
2022-01-14,8.29,8.09,8.37,8.09,996084
2022-01-21,8.09,8.28,8.33,8.05,1438076
2022-01-28,8.21,7.92,8.25,7.92,443752
2022-02-11,8.01,8.17,8.36,7.92,1063241
2022-02-18,8.15,7.91,8.15,7.8,1111174
2022-02-25,7.91,7.67,7.91,7.59,1140195
2022-03-04,7.67,7.55,7.74,7.51,562083
2022-03-11,7.51,7.15,7.59,6.8,959419
2022-03-18,7.15,7.18,7.3,6.68,1324972
2022-03-25,7.26,7.07,7.3,7.0,331216
2022-04-01,7.0,7.22,7.25,6.8,300702
2022-04-08,7.22,7.25,7.29,7.09,153820
2022-04-15,7.15,7.16,7.26,7.0,505334
2022-04-22,7.13,6.88,7.13,6.81,328427
2022-04-29,6.85,6.6,6.95,6.33,763324
2022-05-06,6.6,6.43,6.68,6.43,216326
2022-05-13,6.43,6.59,6.7,6.38,353543
2022-05-20,6.59,6.61,6.62,6.41,320422
2022-05-27,6.65,6.55,6.67,6.4,414124
2022-06-02,6.56,6.62,6.66,6.46,247820
2022-06-10,6.61,6.99,6.99,6.59,1269143
2022-06-17,6.91,7.18,7.63,6.71,3138880
2022-06-24,7.19,7.27,7.3,7.02,1047428
2022-07-01,7.3,7.2,7.41,7.14,1305175
2022-07-08,7.2,7.04,7.26,7.03,297816
2022-07-15,7.02,6.73,7.08,6.7,1348467
2022-07-22,6.8,6.8,7.1,6.77,805939
2022-07-29,6.78,6.75,6.84,6.72,1267691
2022-08-05,6.72,6.65,6.75,6.4,1205625
2022-08-12,6.65,6.88,6.9,6.55,1716907
2022-08-19,6.85,6.87,6.93,6.73,879569
2022-08-26,6.83,6.88,6.96,6.78,564835
2022-09-02,6.9,6.83,6.96,6.78,521928
2022-09-09,6.83,7.03,7.06,6.8,356855
2022-09-16,6.99,6.62,7.09,6.62,441200
2022-09-23,6.77,6.58,6.77,6.43,240978
2022-09-30,6.5,6.31,6.56,6.3,477407
2022-10-14,6.31,6.46,6.47,6.21,1188093
2022-10-21,6.38,6.41,6.57,6.38,433223
2022-10-28,6.39,6.09,6.54,6.06,1177044
2022-11-04,6.01,6.36,6.39,5.97,881174
2022-11-11,6.26,6.53,6.63,6.26,1321258
2022-11-18,6.53,6.67,6.9,6.53,1338653
2022-11-25,6.67,6.7,6.74,6.47,200777
2022-12-02,6.6,6.8,7.1,6.47,1019235
2022-12-09,6.87,7.03,7.14,6.87,909852
2022-12-16,7.03,6.9,7.03,6.85,266052
2022-12-23,6.93,6.67,6.93,6.64,772715
2022-12-30,6.63,6.77,6.8,6.63,153630
2023-01-06,6.69,6.9,6.94,6.6,289239
2023-01-13,6.99,7.19,7.19,6.96,675223
2023-01-20,7.2,7.46,7.49,7.2,1817236
2023-02-03,7.46,7.27,7.54,7.24,1603132
2023-02-10,7.27,7.18,7.27,7.1,293584
2023-02-17,7.17,7.09,7.34,7.05,492841
2023-02-24,7.11,7.16,7.35,7.11,464389
2023-03-03,7.17,7.33,7.33,7.09,389028
2023-03-10,7.31,6.93,7.31,6.93,662799
2023-03-17,6.99,7.04,7.05,6.82,497963
2023-03-24,7.0,7.0,7.05,6.89,833101
2023-03-31,7.0,6.94,7.07,6.82,543853
2023-04-07,6.9,7.2,7.21,6.9,521759
2023-04-14,7.23,7.17,7.32,7.12,639256
2023-04-21,7.15,7.11,7.47,7.11,678125
2023-04-28,7.19,7.35,7.46,6.97,682187
2023-05-05,7.35,7.55,7.66,7.19,784258
2023-05-12,7.48,7.37,7.98,7.37,1641735
2023-05-19,7.37,7.28,7.62,7.27,514120
2023-05-26,7.35,7.11,7.4,6.96,415602
2023-06-02,7.1,7.08,7.19,6.96,320778
2023-06-09,7.19,7.07,7.19,6.93,196170
2023-06-16,7.17,7.14,7.17,6.96,639150
2023-06-21,7.11,6.91,7.11,6.9,253666
2023-06-30,6.87,6.96,6.97,6.72,189431
2023-07-07,6.9,7.02,7.07,6.88,223001
2023-07-14,7.04,7.12,7.13,6.92,282095
2023-07-21,7.09,7.05,7.12,7.01,317456
2023-07-28,6.99,7.81,7.86,6.98,1825427
2023-08-04,7.83,8.08,8.38,7.7,2585051
2023-08-11,8.12,7.82,8.15,7.78,1822217
2023-08-18,7.77,7.75,7.98,7.66,633916
2023-08-25,7.65,7.58,7.7,7.44,640252
2023-09-01,8.08,7.55,8.34,7.44,2199773
2023-09-08,7.62,7.56,7.71,7.42,346260
2023-09-15,7.46,7.41,7.65,7.41,710117
2023-09-22,7.38,7.54,7.6,7.34,91466
2023-09-28,7.42,7.35,7.65,7.33,87414
2023-10-13,7.35,7.36,7.43,7.17,229652
2023-10-20,7.19,7.29,7.42,7.18,273822
2023-10-27,7.38,7.29,7.52,7.06,392658
2023-11-03,7.18,7.22,7.41,7.14,231157
2023-11-10,7.22,7.28,7.49,7.22,752951
2023-11-17,7.27,7.31,7.46,7.06,281321
2023-11-24,7.45,7.23,7.5,7.15,570119
2023-12-01,7.22,7.11,7.3,7.0,420936
2023-12-08,7.06,6.99,7.2,6.88,623474
2023-12-15,6.98,6.9,7.09,6.85,409711
2023-12-22,6.94,6.77,6.94,6.66,398249
2023-12-29,6.73,6.81,6.91,6.56,966524
2024-01-05,6.77,6.68,6.91,6.62,739443
2024-01-12,6.56,6.5,6.68,6.49,473189
2024-01-19,6.6,6.51,6.61,6.33,684437
2024-01-26,6.5,6.84,6.93,6.37,647824
2024-02-02,6.69,6.48,6.93,6.37,1150522
2024-02-08,6.38,6.83,6.91,6.33,730294
2024-02-23,6.83,6.97,6.99,6.7,885830
2024-03-01,6.91,6.96,7.06,6.84,439744
2024-03-08,6.94,6.87,7.0,6.8,150955
2024-03-15,6.92,6.86,7.0,6.74,397130
2024-03-22,6.85,6.8,6.94,6.7,276832
2024-03-29,6.7,6.67,6.7,6.55,252665
2024-04-03,6.62,6.64,6.78,6.58,325353
2024-04-12,6.59,6.37,6.67,6.21,521246
2024-04-19,6.27,6.47,6.89,6.2,821548
2024-04-26,6.38,6.71,6.73,6.38,461222
2024-04-30,6.76,6.74,6.89,6.69,204848
2024-05-10,6.8,6.79,6.88,6.69,855770
2024-05-17,6.74,6.88,6.88,6.68,1094380
2024-05-24,6.88,6.63,6.98,6.63,399451
2024-05-31,6.66,6.64,6.73,6.58,875049
2024-06-07,6.59,6.49,6.64,6.4,518850
2024-06-14,6.5,6.58,6.61,6.39,586097
2024-06-21,6.52,6.48,6.66,6.45,179588
2024-06-28,6.52,6.37,6.56,6.21,485435
2024-07-05,6.32,6.38,6.42,6.16,369254
2024-07-12,6.23,6.27,6.51,6.05,896310
2024-07-19,6.31,6.45,6.48,6.23,231741
2024-07-26,6.44,6.4,6.5,6.28,204912
2024-08-02,6.36,6.5,6.76,6.36,614816
2024-08-09,6.67,6.46,6.67,6.37,547737
2024-08-16,6.47,6.51,6.54,6.34,787768
2024-08-23,6.49,6.47,6.55,6.31,775742
2024-08-30,6.47,6.58,6.65,6.35,471494
2024-09-06,6.49,6.59,6.68,6.45,729365
2024-09-13,6.47,6.53,6.59,6.44,1008389
2024-09-20,6.53,6.63,6.66,6.48,168659
2024-09-27,6.6,8.07,8.09,6.55,3205578
2024-09-30,8.43,8.88,8.88,8.43,2829612
2024-10-11,9.77,8.59,9.77,8.33,7785984
2024-10-18,8.46,8.81,9.08,8.2,2260293
2024-10-25,8.78,8.72,8.91,8.59,1614338
2024-11-01,8.72,8.74,8.99,8.53,1125576
2024-11-08,8.66,9.79,10.18,8.66,4075448
2024-11-15,9.72,9.1,9.78,9.05,1925562
2024-11-22,9.05,8.85,9.25,8.81,996699
2024-11-29,8.75,9.01,9.18,8.6,555590
2024-12-06,8.93,9.22,9.26,8.91,1114614
2024-12-13,9.17,9.03,9.54,9.0,918302
2024-12-20,8.97,8.87,9.15,8.79,664914
2024-12-27,8.98,8.97,9.07,8.77,879996
2025-01-03,8.9,8.37,9.04,8.1,860230
2025-01-10,8.43,8.06,8.43,8.0,441175
2025-01-17,7.96,8.2,8.26,7.92,362102
2025-01-24,8.2,8.3,8.71,8.12,631356
2025-01-27,8.33,8.34,8.38,8.24,95604
2025-02-07,8.4,8.45,8.5,8.08,381704
2025-02-14,8.45,8.47,8.52,8.3,638712
2025-02-21,8.49,8.5,8.69,8.29,407096
2025-02-28,8.47,8.36,8.59,8.33,343641
2025-03-07,8.32,8.42,8.52,8.16,399432
2025-03-14,8.33,8.62,8.66,8.21,762468
2025-03-21,8.62,8.36,8.65,8.36,432794
2025-03-28,8.44,8.35,8.46,8.27,172478
2025-04-03,8.36,8.27,8.36,8.19,384655
2025-04-11,8.15,7.86,8.15,7.5,814777
2025-04-18,7.87,7.85,7.87,7.71,448296
2025-04-25,7.83,7.93,7.93,7.83,276949
2025-04-30,7.86,7.88,7.95,7.79,276616
2025-05-09,7.94,7.97,8.08,7.9,666069
2025-05-16,8.07,8.17,8.48,7.99,916975
2025-05-23,8.12,8.1,8.29,8.04,322888
2025-05-30,8.09,8.06,8.17,8.01,208477
2025-06-06,8.06,8.21,8.27,8.06,441321
2025-06-13,8.26,8.3,8.42,8.16,825223
2025-06-20,8.26,8.21,8.38,8.14,356931
2025-06-27,8.2,8.7,8.96,8.16,1426240
2025-07-04,8.64,8.72,8.81,8.59,948095
2025-07-11,8.68,9.01,9.15,8.65,1090892
2025-07-18,8.97,8.91,9.03,8.8,738846
2025-07-25,8.91,9.28,9.3,8.91,1541282
2025-08-01,9.22,9.09,9.45,9.03,1068013
2025-08-08,9.05,9.09,9.25,9.01,500264
2025-08-15,9.08,9.75,9.79,9.08,2668033
2025-08-22,9.65,9.95,9.95,9.55,2823941
2025-08-29,9.95,9.92,10.12,9.65,2487248
2025-09-05,9.87,9.5,9.87,9.29,1164147
