日期,开盘,收盘,最高,最低,周成交量
2025-10-24,9.95,9.85,10.06,9.77,167607634
2025-10-31,9.89,9.55,9.91,9.51,78811300
2025-11-07,9.56,9.49,9.57,9.37,45517097
2025-11-14,9.48,9.87,10.02,9.48,103595050
2025-11-21,9.9,9.6,9.9,9.52,30123599
2025-11-28,9.62,9.67,9.77,9.55,38735256
2025-12-05,9.7,9.59,9.77,9.56,44384265
2025-12-12,9.61,9.42,9.62,9.27,49612917
2025-12-19,9.44,9.45,9.48,9.28,30874194
2025-12-26,9.45,9.49,9.58,9.45,39552895
2025-12-31,9.48,9.11,9.49,9.11,22771388
2026-01-09,9.12,9.24,9.35,9.12,42291447
2026-01-16,9.24,9.27,9.41,9.19,66828690
2026-01-22,9.27,9.49,9.5,9.19,101290813
