日期,开盘,收盘,最高,最低,周成交量
2019-03-15,19.54,25.78,25.78,19.54,20041
2019-03-22,28.36,41.53,41.53,28.36,122246
2019-03-29,45.68,66.89,66.89,45.68,824871
2019-04-04,73.58,97.93,97.93,73.58,18345420
2019-04-12,98.0,87.6,98.99,85.88,50752378
2019-04-19,87.75,81.08,91.3,76.58,35867915
2019-04-26,80.0,68.49,83.47,68.49,32165819
2019-04-30,68.06,61.6,68.73,60.23,8921583
2019-05-10,59.0,62.4,62.66,55.77,21459867
2019-05-17,61.0,58.9,63.5,58.2,18791878
2019-05-24,58.1,55.44,59.84,54.0,16018133
2019-05-31,56.0,68.76,70.66,55.2,31818000
2019-06-06,69.74,55.02,71.66,54.9,23051611
2019-06-14,55.59,56.13,59.4,53.3,16197179
2019-06-21,55.9,60.14,61.08,54.5,17816994
2019-06-28,61.0,58.0,62.62,57.9,17944743
2019-07-05,59.11,62.3,64.39,58.5,17863949
2019-07-12,62.3,55.8,63.5,55.19,14156761
2019-07-19,56.03,57.45,61.39,56.0,13726787
2019-07-26,57.46,58.98,60.89,54.02,13758690
2019-08-02,58.76,56.18,59.98,55.39,11533121
2019-08-09,55.98,53.65,58.11,53.58,12827578
2019-08-16,53.93,55.38,56.4,53.71,8290855
2019-08-23,56.1,61.0,62.8,55.71,18503679
2019-08-30,59.98,61.75,65.5,59.71,21540023
2019-09-06,62.0,67.6,69.49,62.0,22835862
2019-09-12,68.12,66.15,69.65,65.07,12534488
2019-09-20,66.4,62.52,67.23,62.0,13003053
2019-09-27,62.55,57.72,63.99,57.31,11539979
2019-09-30,57.56,56.2,58.35,56.2,1219752
2019-10-11,57.0,59.8,61.06,56.5,6870335
2019-10-18,60.57,56.9,60.9,56.9,6804279
2019-10-25,56.51,57.54,57.85,55.31,4366968
2019-11-01,57.03,54.73,58.38,53.63,6459349
2019-11-08,54.98,55.67,55.88,54.25,4499609
2019-11-15,55.3,52.4,55.3,50.5,5899069
2019-11-22,52.04,51.9,53.7,51.5,4475590
2019-11-29,51.9,48.44,52.19,45.32,3758321
2019-12-06,48.39,50.22,50.7,47.5,3350255
2019-12-13,50.33,50.5,50.8,49.75,4050406
2019-12-20,50.9,52.09,53.95,50.62,6508462
2019-12-27,52.27,51.31,52.44,50.46,4294203
2020-01-03,50.95,54.12,54.97,49.42,8244776
2020-01-10,54.93,54.22,56.43,53.61,10025099
2020-01-17,53.99,56.32,57.46,53.11,8880270
2020-01-23,56.26,53.64,57.19,52.66,6115596
2020-02-07,48.28,49.0,49.4,43.5,7897852
2020-02-14,48.9,50.51,51.89,48.18,7795396
2020-02-21,50.73,59.62,61.45,50.5,22445838
2020-02-28,58.9,50.8,61.97,50.67,18000288
2020-03-06,51.35,57.7,58.62,51.35,11516723
2020-03-13,56.95,54.85,60.41,50.68,16471833
2020-03-20,55.5,49.91,61.5,48.11,28365943
2020-03-27,48.2,48.49,51.15,44.81,10127719
2020-04-03,48.0,47.85,49.43,46.03,5064528
2020-04-10,48.56,47.66,50.18,47.44,5769344
2020-04-17,47.0,47.36,47.99,45.98,3647464
2020-04-24,47.8,48.44,48.94,47.26,4439026
2020-04-30,48.94,48.6,49.18,42.68,6109762
2020-05-08,48.18,50.39,51.45,48.18,5024138
2020-05-15,50.39,51.55,52.74,50.0,8428289
2020-05-22,51.18,49.59,52.52,49.04,8701710
2020-05-29,49.85,48.05,50.08,47.28,4810191
2020-06-05,48.11,50.74,51.47,48.11,6959853
2020-06-12,32.0,33.54,34.4,31.02,19636368
2020-06-19,34.25,33.06,34.25,32.16,13997356
2020-06-24,33.13,32.1,33.69,31.0,7499459
2020-07-03,32.0,36.9,37.06,31.5,32620789
2020-07-10,36.97,40.0,41.47,36.47,31252811
2020-07-17,39.86,40.89,43.15,38.85,25816914
2020-07-24,41.72,44.26,47.48,40.8,27390392
2020-07-31,43.06,42.13,43.96,40.75,16093707
2020-08-07,42.6,45.38,46.37,42.6,20327047
2020-08-14,44.6,44.06,46.99,42.6,15115914
2020-08-21,44.39,44.46,48.96,44.01,18206999
2020-08-28,45.0,46.61,47.34,43.99,13338298
2020-09-04,47.08,47.5,50.45,46.8,15997657
2020-09-11,47.85,41.48,47.88,39.9,13516997
2020-09-18,41.48,41.36,43.1,40.1,7909831
2020-09-25,41.32,39.5,43.0,39.0,8552505
