日期,开盘,收盘,最高,最低,周成交量
2016-08-19,10.69,11.5,12.1,10.69,68400
2016-08-26,11.55,11.08,11.8,10.89,448400
2016-09-02,11.22,11.05,11.22,11.04,55100
2016-09-09,11.01,10.92,11.01,10.91,396980
2016-09-14,10.81,10.83,10.84,10.63,96700
2016-09-23,10.82,10.85,10.91,10.59,421574
2016-09-30,10.8,10.68,10.8,10.59,166374
2016-10-14,10.68,10.76,10.8,10.68,114591
2016-10-21,10.79,10.92,11.22,10.72,291274
2016-10-28,10.87,10.9,10.99,10.8,187000
2016-11-04,10.85,10.89,10.95,10.75,93637
2016-11-10,10.89,10.83,10.89,10.75,57400
2016-11-17,10.74,10.83,10.87,10.74,46500
2016-11-24,10.82,10.84,10.84,10.78,213600
2016-12-02,10.83,10.91,11.0,10.83,591400
2016-12-09,10.89,10.89,10.91,10.78,578300
2016-12-15,10.72,10.73,10.83,10.71,56300
2016-12-23,10.72,10.69,10.83,10.61,41100
2016-12-29,10.8,10.58,10.8,10.58,165746
2017-01-06,10.61,10.59,10.81,10.58,192532
2017-01-13,10.6,10.6,10.68,10.57,153700
2017-01-20,10.65,10.34,10.65,10.24,87300
2017-01-26,10.36,10.54,10.54,10.32,68500
2017-02-03,10.55,10.59,10.61,10.55,20880
2017-02-10,10.62,10.95,10.95,10.59,333400
2017-02-17,10.84,11.14,11.15,10.84,228104
2017-02-24,11.14,10.99,11.24,10.99,1188800
2017-03-03,11.02,10.86,11.02,10.85,704200
2017-03-10,10.85,10.81,10.9,10.75,1408746
2017-03-17,10.84,11.06,11.15,10.84,314645
2017-03-24,11.04,11.41,11.41,11.04,994339
2017-03-31,11.44,11.44,11.5,11.25,537300
2017-04-07,11.37,11.52,11.52,11.37,134309
2017-04-14,11.42,11.52,11.53,11.31,202332
2017-04-21,11.44,11.47,11.49,11.37,566920
2017-04-28,11.43,11.61,11.77,11.4,545700
2017-05-05,11.53,11.63,11.75,11.52,287820
2017-05-12,11.57,11.62,11.64,11.45,227324
2017-05-19,11.66,11.99,12.04,11.66,917014
2017-05-26,12.02,12.51,12.57,12.02,655469
2017-06-02,12.56,12.79,12.79,12.41,481600
2017-06-09,12.78,13.69,13.69,12.78,1601930
2017-06-16,13.7,12.96,13.75,12.93,987765
2017-06-23,13.09,13.34,13.62,13.07,691640
2017-06-30,13.35,13.5,13.52,13.31,5920992
2017-07-07,13.36,13.29,13.5,13.1,1948700
2017-07-14,13.24,13.23,13.3,13.14,1064586
2017-07-21,13.17,13.41,13.41,12.96,1374100
2017-07-28,13.4,13.3,13.53,13.21,660835
2017-08-04,13.27,13.14,13.37,13.1,854954
2017-08-11,13.08,13.34,13.42,13.06,400100
2017-08-18,13.21,13.35,13.49,13.01,473900
2017-08-25,13.42,13.31,13.49,13.26,199069
2017-09-01,13.43,13.29,13.43,13.27,316000
2017-09-08,13.39,13.36,13.47,13.31,381856
2017-09-15,13.36,13.98,14.0,13.36,2277835
2017-09-22,13.99,14.49,14.56,13.99,1980170
2017-09-29,14.49,15.07,15.11,14.25,835337
2017-10-13,15.13,16.01,16.5,15.13,1781375
2017-10-20,16.01,16.74,16.79,15.74,1298890
2017-10-27,16.82,17.78,18.73,16.8,4088290
2017-11-03,17.65,17.8,18.5,16.99,2124771
2017-11-10,18.14,18.03,18.34,17.61,1082530
2017-11-17,18.02,17.4,18.1,16.77,1085566
2017-11-24,17.44,18.12,18.8,17.35,2178318
2017-12-01,17.53,17.5,18.4,17.1,1472932
2017-12-08,17.42,17.15,17.77,16.64,943800
2017-12-15,17.14,17.37,17.7,16.9,869420
2017-12-22,16.85,17.58,17.79,16.85,662911
2017-12-29,17.58,17.79,18.1,17.58,1534300
2018-01-05,17.79,18.74,18.79,17.79,1313901
2018-01-12,18.74,18.05,18.77,17.92,855558
2018-01-19,18.05,16.59,18.19,15.83,1570235
2018-01-26,16.33,16.48,16.99,16.12,1167064
2018-02-02,16.55,16.37,16.55,15.62,504600
2018-02-09,16.37,14.59,16.5,14.52,671021
2018-02-14,15.49,15.76,15.85,14.81,215300
2018-02-23,15.9,16.31,16.4,15.8,358700
2018-03-02,16.45,16.19,17.38,15.73,896400
2018-03-09,16.18,16.01,16.45,15.2,455900
2018-03-16,16.3,15.95,16.3,15.8,238200
2018-03-23,15.79,14.9,15.92,14.6,534544
2018-03-30,14.85,14.62,15.2,14.42,577500
2018-04-04,14.66,14.21,14.68,14.2,316000
2018-04-13,14.41,14.42,14.66,14.0,992100
2018-04-20,14.4,13.69,14.4,13.4,535442
2018-04-27,13.51,13.4,13.87,13.35,370900
2018-05-04,13.4,13.61,13.63,13.2,662100
2018-05-11,13.68,14.08,14.18,13.66,597900
2018-05-18,14.08,14.43,14.45,14.08,465309
2018-05-25,14.42,14.07,14.62,13.9,704292
2018-06-01,14.03,14.09,14.28,13.82,543600
2018-06-08,14.15,14.41,14.63,14.15,1061767
2018-06-15,14.31,14.48,14.68,14.31,801209
2018-06-22,14.36,14.17,14.36,13.61,1472648
2018-06-29,14.33,13.48,14.33,13.13,1457614
2018-07-06,13.34,12.87,13.44,12.63,788469
2018-07-13,12.92,13.45,13.48,12.9,3668969
2018-07-20,13.49,13.37,13.49,13.12,1321995
2018-07-27,13.37,13.48,14.2,13.2,1443449
2018-08-03,13.5,12.6,13.57,12.6,1837322
2018-08-10,12.41,12.84,12.89,12.18,1541257
2018-08-17,12.79,12.1,12.87,11.93,1218400
2018-08-24,11.81,12.17,12.25,11.8,1172462
2018-08-31,12.26,12.1,12.79,12.01,1325958
2018-09-07,12.2,11.91,12.33,11.82,804000
2018-09-14,11.82,11.53,11.82,11.31,1348503
2018-09-21,11.33,12.22,12.23,11.33,2651532
2018-09-28,12.19,12.3,12.44,12.0,3385982
2018-10-12,11.98,10.92,12.0,10.73,2304538
2018-10-19,11.11,11.16,11.2,10.14,764786
2018-10-26,11.14,11.15,11.59,10.8,1530713
2018-11-02,11.13,11.53,11.53,10.65,1049271
2018-11-09,11.34,11.37,11.55,11.22,256200
2018-11-16,11.29,11.53,11.61,11.1,1172001
2018-11-23,11.69,11.5,11.77,11.4,591919
2018-11-30,11.45,11.27,11.49,11.21,322122
2018-12-07,11.76,11.47,11.77,11.4,729900
2018-12-14,11.5,11.51,11.59,11.28,677327
2018-12-21,11.4,11.1,11.46,10.81,885262
2018-12-28,11.08,11.98,11.98,10.75,2576892
2019-01-04,11.0,10.89,11.0,10.71,160200
2019-01-11,10.89,11.19,11.22,10.81,554609
2019-01-18,11.19,10.5,11.34,10.35,1349500
2019-01-25,10.45,10.6,10.63,10.44,1450110
2019-02-01,10.68,10.93,10.93,10.51,1755823
2019-02-15,11.0,11.4,11.65,11.0,1416810
2019-02-22,11.52,12.05,12.06,11.5,1165917
2019-03-01,12.07,12.38,12.89,12.07,1279310
2019-03-08,12.33,12.25,12.79,12.25,1070602
2019-03-15,12.17,12.68,12.79,12.17,868232
2019-03-22,12.7,13.11,13.23,12.7,930495
