日期,股票代码,开盘,收盘,最高,最低,周成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-16,920086,50.0,54.95,79.93,49.0,181017,987613412.13,265.27,371.27,43.29,96.14
2026-01-22,920086,43.28,39.52,46.87,38.88,286624,1185058028.64,14.54,-28.08,-15.43,152.23
