日期,开盘,收盘,最高,最低,周成交量
2015-11-20,8.98,7.27,8.98,7.27,462600
2015-11-27,6.69,6.93,7.5,6.69,23421335
2015-12-04,6.94,7.37,7.69,6.8,11768437
2015-12-11,7.5,6.92,7.53,6.9,9927814
2015-12-18,6.9,8.2,8.72,6.85,24820066
2015-12-25,8.21,8.74,8.95,8.0,14989230
2015-12-31,8.75,8.1,8.85,7.52,14395259
2016-01-08,8.06,7.07,8.1,6.8,8815261
2016-01-15,7.15,7.09,7.77,6.8,7097326
2016-01-22,6.88,6.7,7.23,6.56,7478858
2016-01-29,6.82,6.11,6.82,5.65,6259557
2016-02-05,6.12,6.92,6.92,5.99,8508213
2016-02-19,6.51,6.95,7.27,6.51,13941824
2016-02-26,7.0,6.28,7.05,6.04,7653189
2016-03-04,6.16,6.13,6.36,5.78,5940438
2016-03-11,6.25,6.18,6.33,6.04,2331844
2016-03-18,6.25,6.47,6.52,6.1,4519582
2016-03-25,6.5,6.52,6.66,6.48,4375369
2016-04-01,6.57,6.6,6.66,6.43,3276038
2016-04-08,6.6,6.55,6.69,6.5,2883078
2016-04-15,6.55,6.63,6.7,6.55,2470200
2016-04-22,6.63,6.32,6.63,6.23,2195634
2016-04-29,6.37,6.34,6.38,6.11,1639004
2016-05-06,6.28,6.35,6.49,6.26,1427560
2016-05-13,6.29,5.88,6.29,5.73,1861844
2016-05-20,5.94,5.77,6.03,5.57,1864745
2016-05-27,5.8,5.7,5.92,5.55,1010018
2016-06-03,5.66,6.29,6.42,5.59,4571733
2016-06-08,6.28,6.16,6.28,6.1,1172832
2016-06-17,6.08,6.12,6.19,6.01,1622372
2016-06-24,6.14,5.93,6.14,5.9,1818233
2016-07-01,5.93,6.09,6.12,5.92,2225288
2016-07-08,6.02,6.12,6.2,6.0,2231220
2016-07-15,6.13,6.18,6.29,6.07,2070980
2016-07-22,6.15,6.17,6.27,6.1,1450975
2016-07-29,6.17,5.96,6.24,5.9,2204995
2016-08-05,5.92,5.93,5.96,5.83,1058799
2016-08-12,5.88,5.98,6.0,5.86,659164
2016-08-19,5.98,6.08,6.12,5.98,1506800
2016-08-26,6.11,6.09,6.26,6.02,1249080
2016-09-02,6.1,6.11,6.12,6.05,505322
2016-09-09,6.12,6.4,6.55,6.1,7714813
2016-09-14,6.35,6.53,6.57,6.27,3482919
2016-09-23,6.53,6.39,6.68,6.35,5151555
2016-09-30,6.36,6.62,6.66,6.27,3732586
