日期,开盘,收盘,最高,最低,周成交量
2015-09-02,6.04,6.07,6.6,5.95,7549592
2015-09-11,6.26,6.91,7.02,6.12,37008562
2015-09-18,6.98,6.26,7.11,5.85,39927398
2015-09-25,6.2,6.75,7.58,6.15,114315241
2015-09-30,6.8,6.94,7.08,6.65,22752546
2015-10-09,7.25,7.28,7.39,7.07,22027958
2015-10-16,7.4,7.97,8.15,7.31,80474319
2015-10-23,8.15,7.98,8.34,7.38,76507822
2015-10-30,8.12,7.99,8.21,7.41,58383423
2015-11-06,7.8,8.57,8.95,7.55,78362438
2015-11-13,8.41,8.71,9.09,8.3,64492439
2015-11-20,8.55,9.12,9.5,8.42,53309771
2015-11-27,9.2,8.17,9.33,8.1,57872465
2015-12-04,8.18,8.54,8.72,7.82,47069361
2015-12-11,8.57,9.01,9.78,8.52,109285882
2015-12-18,8.8,9.1,9.28,8.7,58567721
2015-12-25,9.09,9.38,9.61,9.02,59311959
2015-12-31,9.38,9.45,9.98,9.22,61539312
2016-01-08,9.4,7.99,9.49,7.41,47026077
2016-01-15,7.91,7.34,7.94,7.04,37347463
2016-01-22,7.26,7.52,7.95,7.23,33154808
2016-01-29,7.52,6.8,7.68,6.42,24702835
2016-02-05,6.8,7.02,7.18,6.63,19418929
2016-02-19,6.89,7.41,7.51,6.8,25625880
2016-02-26,7.48,6.88,7.64,6.71,24455268
2016-03-04,6.9,7.19,7.34,6.42,32328601
2016-03-11,7.16,6.8,7.34,6.72,21663683
2016-03-18,6.85,7.56,7.6,6.85,27534779
2016-03-25,7.57,7.72,7.78,7.45,30265335
2016-04-01,8.15,8.23,8.37,7.75,52819516
2016-04-08,8.25,8.28,8.48,8.16,27459280
2016-04-15,8.32,8.65,8.8,8.31,32588147
2016-04-22,8.61,8.18,8.62,7.91,23602913
2016-04-29,8.2,8.26,8.36,8.05,15495428
2016-05-06,8.27,8.48,8.94,8.22,32453563
2016-05-13,8.38,5.49,8.42,4.94,40218843
2016-05-20,5.81,5.62,6.2,5.37,166425802
2016-05-27,5.64,5.72,6.05,5.53,78773133
2016-06-03,5.6,5.75,5.86,5.5,64385026
2016-06-08,5.79,5.81,6.05,5.7,55627393
2016-06-17,5.72,5.5,5.72,5.27,45792428
2016-06-24,5.5,5.43,5.59,5.26,30752246
2016-07-01,5.36,6.19,6.41,5.35,104839421
2016-07-08,6.22,6.59,6.81,6.17,142409965
2016-07-15,6.55,7.1,7.35,6.29,108762341
2016-07-22,7.11,6.73,7.26,6.53,77129800
2016-07-29,6.76,6.24,6.82,6.18,65150229
2016-08-05,6.18,6.21,6.37,6.16,40780569
2016-08-12,6.16,6.32,6.43,6.11,35967601
2016-08-19,6.3,6.55,6.72,6.28,48844625
2016-08-26,6.55,6.3,6.62,6.2,28481472
2016-09-02,6.28,6.5,6.75,6.26,39559306
2016-09-09,6.53,6.48,6.65,6.38,32908831
2016-09-14,6.32,6.29,6.44,6.24,12944252
2016-09-23,6.31,6.57,6.64,6.31,37120809
2016-09-30,6.57,6.55,6.8,6.44,66736371
2016-10-14,6.59,6.81,6.99,6.59,68989164
2016-10-21,6.84,6.7,6.86,6.57,42279408
2016-10-28,6.7,7.15,7.42,6.68,87226862
2016-11-04,7.14,7.21,7.35,6.91,64085572
2016-11-11,7.16,7.45,7.78,7.16,95126832
2016-11-18,7.42,7.31,7.68,7.3,55015417
2016-11-25,7.31,7.17,7.73,7.03,77438835
2016-12-02,7.16,6.81,7.24,6.74,46013385
2016-12-09,6.69,6.84,6.93,6.65,28936441
2016-12-16,6.86,6.55,6.91,6.32,28933430
2016-12-23,6.56,6.52,6.72,6.48,20157151
2016-12-30,6.52,6.7,6.8,6.42,19487317
2017-01-06,6.71,7.05,7.26,6.71,34511030
2017-01-13,7.06,6.89,7.24,6.85,27902078
2017-01-20,6.8,6.83,6.9,6.48,23853567
2017-01-26,6.85,7.04,7.05,6.8,14231439
2017-02-03,7.03,6.87,7.04,6.85,6344226
2017-02-10,6.87,7.1,7.13,6.78,32215889
2017-02-17,7.12,7.07,7.31,7.05,42914875
2017-02-24,7.05,7.24,7.38,7.05,36333511
2017-03-03,7.24,7.03,7.24,7.0,22476920
2017-03-10,7.05,7.07,7.23,7.0,23595195
2017-03-17,7.1,7.17,7.31,7.05,33971106
2017-03-24,7.16,7.48,7.58,7.16,63353656
2017-03-31,7.48,7.14,7.53,7.1,35067496
2017-04-07,7.2,7.21,7.35,7.17,14301333
2017-04-14,7.2,6.9,7.23,6.85,31646496
2017-04-21,6.86,6.67,6.95,6.6,18910245
2017-04-28,6.67,6.69,6.71,6.4,14541332
2017-05-05,6.74,6.84,6.93,6.65,10673149
2017-05-12,6.84,5.29,6.89,5.12,13876752
2017-05-19,5.32,5.65,5.7,5.31,13483316
2017-05-26,5.62,5.6,5.75,5.3,17159589
2017-06-02,5.63,5.42,5.67,5.29,7947750
2017-06-09,5.42,5.54,5.63,5.42,7611672
2017-06-16,5.47,5.49,5.54,5.42,6992755
2017-06-23,5.5,5.37,5.51,5.31,10746209
2017-06-30,5.37,5.32,5.4,5.18,17037543
2017-07-07,5.31,5.32,5.33,5.25,10048485
2017-07-14,5.33,5.48,5.66,5.33,20818184
2017-07-21,5.49,5.21,5.49,5.11,17085763
2017-07-28,5.19,5.32,5.35,5.18,14944550
2017-08-04,5.34,5.35,5.56,5.21,17095984
2017-08-11,5.3,5.3,5.39,5.27,15015651
2017-08-18,5.32,5.41,5.45,5.28,19621298
2017-08-25,5.42,5.39,5.44,5.31,13891633
2017-09-01,5.43,5.4,5.43,5.29,20513009
2017-09-08,5.43,5.4,5.47,5.37,19084772
2017-09-15,5.39,5.5,5.58,5.38,28050227
2017-09-22,5.5,5.82,5.94,5.47,49743055
2017-09-29,5.86,6.12,6.23,5.58,44757867
2017-10-13,6.12,6.08,6.2,6.0,24437782
2017-10-20,6.08,5.83,6.25,5.71,27714859
