日期,开盘,收盘,最高,最低,周成交量
2015-09-02,10.85,11.87,12.01,10.5,18021277
2015-09-11,11.96,11.83,12.86,11.21,91286365
2015-09-18,11.89,10.06,12.11,9.51,95186279
2015-09-25,9.84,10.08,10.86,9.77,80824545
2015-09-30,10.15,9.94,10.22,9.81,23611300
2015-10-09,10.35,11.47,11.7,10.3,43619722
2015-10-16,11.51,12.3,12.58,11.37,98116761
2015-10-23,12.28,12.39,12.68,11.08,121708998
2015-10-30,12.48,11.84,13.15,11.72,130802094
2015-11-06,11.61,12.5,12.65,11.37,111894518
2015-11-13,12.33,12.88,13.82,12.33,166103221
2015-11-20,12.5,12.71,13.47,12.4,74717361
2015-11-27,12.9,13.76,15.35,12.68,181231846
2015-12-04,13.82,14.6,15.28,13.0,123883805
2015-12-11,14.6,13.18,15.48,13.07,110533104
2015-12-18,13.16,13.34,14.02,12.88,80076300
2015-12-25,13.18,14.42,14.58,13.0,97070964
2015-12-31,14.48,13.15,14.54,13.04,55044068
2016-01-08,13.13,11.28,13.21,10.71,54033583
2016-01-15,11.28,9.48,11.41,9.32,42597868
2016-01-22,9.28,9.77,10.4,9.2,44665595
2016-01-29,9.97,10.45,10.75,9.45,115531634
2016-02-05,10.34,10.96,11.41,10.06,87108613
2016-02-19,10.67,11.96,12.73,10.45,65815785
2016-02-26,12.1,12.68,13.38,11.83,71942660
2016-03-04,12.51,12.49,13.97,11.5,126781089
2016-03-11,12.9,11.38,13.6,11.12,79322233
2016-03-18,11.52,12.37,12.5,10.98,57293499
2016-03-25,12.5,11.59,12.58,11.3,84304009
2016-04-01,11.6,12.09,12.13,11.0,85784126
2016-04-08,11.99,11.81,12.51,11.5,59728739
2016-04-15,12.02,13.09,13.78,11.85,128012516
2016-04-22,12.65,13.0,13.37,11.76,106153287
2016-04-29,13.0,12.62,13.58,12.61,58366803
2016-05-06,12.52,12.01,13.13,11.99,52689977
2016-05-13,11.8,11.19,11.8,10.68,62331317
2016-05-20,11.12,11.26,12.14,10.96,60967086
2016-05-27,11.35,11.37,11.8,11.23,41679832
2016-06-03,11.26,11.61,11.74,11.1,51566136
2016-06-08,11.61,11.3,11.65,11.2,29432721
2016-06-17,11.2,10.79,11.23,10.7,49006199
