日期,开盘,最高,最低,收盘,成交量,股票代码,成交额
2022-09-22,135.0,140.0,129.1,134.8,7354103,,996703616.0
2022-09-23,135.48,136.48,127.01,127.72,5159096,,681929216.0
2022-09-26,121.6,123.3,117.75,121.77,4064650,,490275584.0
2022-09-27,120.03,125.57,117.08,119.5,3474994,,419023968.0
2022-09-28,118.01,118.88,106.37,106.48,3837205,,429259200.0
2022-09-29,106.32,108.69,101.52,102.5,2996645,,313116608.0
2022-09-30,102.53,104.39,97.44,97.5,2251898,,227164656.0
2022-10-10,96.58,98.88,90.85,91.5,2323514,,219866656.0
2022-10-11,92.0,93.03,89.9,90.85,1806875,,165759664.0
2022-10-12,90.8,94.47,89.9,94.25,1914307,,176591392.0
2022-10-13,92.82,95.3,92.24,92.31,2007200,,187824800.0
2022-10-14,93.3,95.47,92.52,95.25,1764018,,166327840.0
2022-10-17,94.0,97.74,93.51,97.74,2061939,,197340048.0
2022-10-18,97.49,97.49,93.88,94.88,1757105,,167098928.0
2022-10-19,94.13,94.98,92.0,92.0,1605739,,149754848.0
2022-10-20,91.11,101.46,90.72,97.88,3064764,,295562144.0
2022-10-21,96.1,97.5,92.6,95.69,2417618,,229548144.0
2022-10-24,96.5,103.09,96.5,100.66,2900532,,289605152.0
2022-10-25,99.09,106.71,97.89,103.5,3033761,,313381888.0
2022-10-26,102.0,104.5,101.1,103.0,2182810,,223914608.0
2022-10-27,102.61,109.68,102.03,104.7,2795390,,298088832.0
2022-10-28,104.0,109.98,103.45,108.26,2585619,,278102016.0
2022-10-31,106.8,114.3,106.2,109.63,2197101,,241549856.0
2022-11-01,107.98,108.87,105.28,108.3,1529708,,163972912.0
2022-11-02,108.0,109.8,105.3,105.32,1575377,,169723104.0
2022-11-03,104.0,114.3,104.0,113.24,2197612,,242689904.0
2022-11-04,112.42,112.86,110.02,112.14,1486015,,165499392.0
2022-11-07,111.62,114.28,109.66,113.31,1347346,,151018368.0
2022-11-08,113.96,114.95,111.39,112.2,844091,,95247536.0
2022-11-09,111.0,112.63,107.77,107.81,979915,,108122656.0
2022-11-10,106.96,110.83,105.1,105.57,1184779,,127760000.0
2022-11-11,109.08,110.99,104.62,105.89,1193507,,128899736.0
2022-11-14,104.23,106.7,102.6,103.8,830459,,86477760.0
2022-11-15,104.23,119.88,103.81,116.58,2415594,,272449600.0
2022-11-16,115.8,118.68,114.28,117.1,1259985,,146294240.0
2022-11-17,116.19,120.2,113.8,117.88,1214965,,142210752.0
2022-11-18,117.86,119.5,113.0,113.14,1119934,,129214960.0
2022-11-21,113.3,115.48,111.28,113.32,731263,,82902952.0
2022-11-22,112.51,115.36,110.03,110.5,897306,,100760464.0
2022-11-23,109.03,111.66,105.01,106.65,974029,,104217096.0
2022-11-24,107.11,108.57,106.0,107.49,640118,,68643032.0
2022-11-25,108.0,113.43,107.11,108.37,1098618,,121011368.0
2022-11-28,105.5,107.8,103.7,106.0,731186,,77368816.0
2022-11-29,106.45,108.5,104.78,107.06,709429,,75598760.0
2022-11-30,106.87,106.88,101.7,102.25,1223207,,126343432.0
2022-12-01,103.4,105.65,101.95,102.58,1058123,,109923040.0
2022-12-02,101.74,104.6,101.7,103.18,765985,,79113664.0
2022-12-05,103.8,104.49,100.21,101.7,901500,,91576488.0
2022-12-06,101.63,105.0,100.78,103.43,1119473,,115441656.0
2022-12-07,105.45,105.45,101.87,102.01,942096,,97242344.0
2022-12-08,102.62,105.6,102.0,103.64,1067526,,110999248.0
2022-12-09,103.0,107.01,101.09,106.27,1538609,,162239856.0
2022-12-12,105.66,108.85,104.0,107.18,1240445,,132255160.0
2022-12-13,106.38,107.0,102.78,102.98,830654,,86674936.0
2022-12-14,107.0,112.99,105.57,105.7,1837168,,200453552.0
2022-12-15,103.59,109.88,103.5,105.46,1455354,,155366688.0
2022-12-16,104.22,104.22,100.19,100.9,1140600,,116123776.0
2022-12-19,100.0,100.25,96.9,97.27,693600,,68191016.0
2022-12-20,97.25,98.8,96.8,97.4,509858,,49825032.0
2022-12-21,97.5,97.81,93.54,94.46,602492,,57545256.0
2022-12-22,95.22,95.77,92.32,92.53,457900,,42932672.0
