股票代码,股票名称,匹配度,最佳买点日期,最佳买点价格,当前价格,市值,核心特征匹配,特征
002101,广东鸿图,1.0,2025-12-31,12.32,12.32,81.58,{},"{'起点当周量比': 0.63, '起点前10周均量': 328034.0, '起点前20周均量': 516300.0, '起点前40周均量': 381221.0, '成交量萎缩程度': 0.64, '起点前40周最大量': 2015141.0, '最大量对应最低价': 11.25, '最大量对应日期': '2024-11-08', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.1, '价格相对位置': 44.2, '相对高点跌幅': 19.04, '起点前20周最高价': 14.65, '起点前20周最低价': 9.65, '起点前40周最高价': 14.65, '起点前40周最低价': 8.89, '起点前20周波动幅度': 51.81, '价格相对MA5': 6.31, 'MA5值': 11.16, '价格相对MA10': -0.08, 'MA10值': 11.87, '价格相对MA20': -0.37, 'MA20值': 11.9, '价格相对MA40': 6.68, 'MA40值': 11.12, 'MA20斜率': -1.99, '起点前20周量价相关系数': 0.487, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 20.72, '起点前20周波动率': 36.35, '90%成本集中度': 15.38, '筹码集中度': 74.38, '盈利筹码比例': 53.46, '起点价格': 11.86, '起点日期': '2025-02-07'}"
002885,京泉华,1.0,2025-12-31,25.69,25.69,59.32,{},"{'起点当周量比': 0.51, '起点前10周均量': 641858.0, '起点前20周均量': 644536.0, '起点前40周均量': 428741.0, '成交量萎缩程度': 1.0, '起点前40周最大量': 1721701.0, '最大量对应最低价': 13.61, '最大量对应日期': '2025-01-10', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 2.57, '起点量比最大量': 0.19, '价格相对位置': 48.18, '相对高点跌幅': 18.4, '起点前20周最高价': 16.25, '起点前20周最低价': 10.48, '起点前40周最高价': 16.25, '起点前40周最低价': 9.39, '起点前20周波动幅度': 55.06, '价格相对MA5': -0.03, 'MA5值': 13.26, '价格相对MA10': -2.64, 'MA10值': 13.62, '价格相对MA20': -1.72, 'MA20值': 13.49, '价格相对MA40': 8.99, 'MA40值': 12.17, 'MA20斜率': 5.94, '起点前20周量价相关系数': 0.353, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 20.99, '起点前20周波动率': 35.99, '90%成本集中度': 13.8, '筹码集中度': 62.56, '盈利筹码比例': 47.91, '起点价格': 13.26, '起点日期': '2025-02-07'}"
300349,金卡智能,1.0,2025-12-31,15.63,15.63,57.72,{},"{'起点当周量比': 0.52, '起点前10周均量': 581230.0, '起点前20周均量': 621806.0, '起点前40周均量': 489908.0, '成交量萎缩程度': 0.93, '起点前40周最大量': 1387670.0, '最大量对应最低价': 10.2, '最大量对应日期': '2024-08-23', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.22, '价格相对位置': 56.98, '相对高点跌幅': 16.88, '起点前20周最高价': 15.52, '起点前20周最低价': 9.43, '起点前40周最高价': 15.52, '起点前40周最低价': 9.43, '起点前20周波动幅度': 64.58, '价格相对MA5': 5.5, 'MA5值': 12.23, '价格相对MA10': -0.19, 'MA10值': 12.93, '价格相对MA20': 0.8, 'MA20值': 12.8, '价格相对MA40': 7.06, 'MA40值': 12.05, 'MA20斜率': 0.87, '起点前20周量价相关系数': 0.285, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 20.79, '起点前20周波动率': 42.05, '90%成本集中度': 17.2, '筹码集中度': 44.27, '盈利筹码比例': 70.81, '起点价格': 12.9, '起点日期': '2025-02-07'}"
300989,蕾奥规划,1.0,2025-12-31,17.65,17.65,26.58,{},"{'起点当周量比': 0.34, '起点前10周均量': 294184.0, '起点前20周均量': 387599.0, '起点前40周均量': 380933.0, '成交量萎缩程度': 0.76, '起点前40周最大量': 779956.0, '最大量对应最低价': 13.5, '最大量对应日期': '2024-05-24', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.13, '价格相对位置': 58.98, '相对高点跌幅': 14.4, '起点前20周最高价': 16.8, '起点前20周最低价': 10.9, '起点前40周最高价': 17.39, '起点前40周最低价': 10.5, '起点前20周波动幅度': 54.13, '价格相对MA5': -2.98, 'MA5值': 14.82, '价格相对MA10': -5.01, 'MA10值': 15.14, '价格相对MA20': 1.2, 'MA20值': 14.21, '价格相对MA40': 7.21, 'MA40值': 13.41, 'MA20斜率': 14.54, '起点前20周量价相关系数': 0.039, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 14.86, '起点前20周波动率': 44.34, '90%成本集中度': 17.34, '筹码集中度': 42.67, '盈利筹码比例': 61.48, '起点价格': 14.38, '起点日期': '2025-02-07'}"
301013,利和兴,1.0,2025-12-31,28.01,28.01,53.01,{},"{'起点当周量比': 0.75, '起点前10周均量': 347764.0, '起点前20周均量': 561858.0, '起点前40周均量': 506800.0, '成交量萎缩程度': 0.62, '起点前40周最大量': 1396703.0, '最大量对应最低价': 10.18, '最大量对应日期': '2024-08-30', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.19, '价格相对位置': 49.52, '相对高点跌幅': 20.58, '起点前20周最高价': 15.45, '起点前20周最低价': 9.15, '起点前40周最高价': 15.45, '起点前40周最低价': 9.08, '起点前20周波动幅度': 68.85, '价格相对MA5': 10.38, 'MA5值': 11.12, '价格相对MA10': 1.12, 'MA10值': 12.13, '价格相对MA20': -1.11, 'MA20值': 12.41, '价格相对MA40': 6.96, 'MA40值': 11.47, 'MA20斜率': -4.93, '起点前20周量价相关系数': 0.165, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 30.0, '起点前20周波动率': 50.11, '90%成本集中度': 19.93, '筹码集中度': 59.5, '盈利筹码比例': 58.19, '起点价格': 12.27, '起点日期': '2025-02-07'}"
603191,望变电气,1.0,2025-12-31,14.81,14.81,48.88,{},"{'起点当周量比': 1.18, '起点前10周均量': 503710.0, '起点前20周均量': 492377.0, '起点前40周均量': 419794.0, '成交量萎缩程度': 1.02, '起点前40周最大量': 1285139.0, '最大量对应最低价': 12.61, '最大量对应日期': '2025-01-24', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.46, '价格相对位置': 81.86, '相对高点跌幅': 4.95, '起点前20周最高价': 14.94, '起点前20周最低价': 10.86, '起点前40周最高价': 19.8, '起点前40周最低价': 9.84, '起点前20周波动幅度': 37.57, '价格相对MA5': 8.23, 'MA5值': 13.12, '价格相对MA10': 9.42, 'MA10值': 12.98, '价格相对MA20': 11.74, 'MA20值': 12.71, '价格相对MA40': 8.45, 'MA40值': 13.09, 'MA20斜率': 5.94, '起点前20周量价相关系数': 0.224, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 15.94, '起点前20周波动率': 24.14, '90%成本集中度': 10.77, '筹码集中度': 61.69, '盈利筹码比例': 105.86, '起点价格': 14.2, '起点日期': '2025-02-07'}"
688352,颀中科技,1.0,2025-12-31,12.61,12.61,46.14,{},"{'起点当周量比': 0.66, '起点前10周均量': 469184.0, '起点前20周均量': 579329.0, '起点前40周均量': 460930.0, '成交量萎缩程度': 0.81, '起点前40周最大量': 1268888.0, '最大量对应最低价': 11.26, '最大量对应日期': '2024-10-11', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.24, '价格相对位置': 56.13, '相对高点跌幅': 20.0, '起点前20周最高价': 14.85, '起点前20周最低价': 8.08, '起点前40周最高价': 14.85, '起点前40周最低价': 8.08, '起点前20周波动幅度': 83.79, '价格相对MA5': 6.03, 'MA5值': 11.2, '价格相对MA10': -2.39, 'MA10值': 12.17, '价格相对MA20': 0.0, 'MA20值': 11.88, '价格相对MA40': 6.93, 'MA40值': 11.11, 'MA20斜率': 5.24, '起点前20周量价相关系数': 0.126, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 26.2, '起点前20周波动率': 64.1, '90%成本集中度': 24.17, '筹码集中度': 54.34, '盈利筹码比例': 70.29, '起点价格': 11.88, '起点日期': '2025-02-07'}"
000923,河钢资源,0.999,2025-12-31,21.17,21.17,132.93,{},"{'起点当周量比': 1.18, '起点前10周均量': 450349.0, '起点前20周均量': 534125.0, '起点前40周均量': 499188.0, '成交量萎缩程度': 0.84, '起点前40周最大量': 1713678.0, '最大量对应最低价': 14.75, '最大量对应日期': '2025-03-28', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 1.49, '起点量比最大量': 0.31, '价格相对位置': 57.61, '相对高点跌幅': 11.83, '起点前20周最高价': 16.48, '起点前20周最低价': 11.88, '起点前40周最高价': 16.52, '起点前40周最低价': 11.88, '起点前20周波动幅度': 38.72, '价格相对MA5': 2.37, 'MA5值': 14.19, '价格相对MA10': 5.48, 'MA10值': 13.77, '价格相对MA20': 7.99, 'MA20值': 13.46, '价格相对MA40': 6.02, 'MA40值': 13.7, 'MA20斜率': 3.55, '起点前20周量价相关系数': 0.101, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 14.58, '起点前20周波动率': 22.09, '90%成本集中度': 9.95, '筹码集中度': 68.83, '盈利筹码比例': 75.64, '起点价格': 14.53, '起点日期': '2025-08-15'}"
002003,伟星股份,0.999,2025-12-31,10.6,10.6,108.34,{},"{'起点当周量比': 0.54, '起点前10周均量': 563066.0, '起点前20周均量': 529987.0, '起点前40周均量': 457592.0, '成交量萎缩程度': 1.06, '起点前40周最大量': 1017507.0, '最大量对应最低价': 12.27, '最大量对应日期': '2024-12-20', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.3, '价格相对位置': 61.9, '相对高点跌幅': 8.06, '起点前20周最高价': 14.88, '起点前20周最低价': 11.73, '起点前40周最高价': 14.88, '起点前40周最低价': 10.67, '起点前20周波动幅度': 26.85, '价格相对MA5': -0.18, 'MA5值': 13.7, '价格相对MA10': 2.55, 'MA10值': 13.34, '价格相对MA20': 5.13, 'MA20值': 13.01, '价格相对MA40': 10.57, 'MA40值': 12.37, 'MA20斜率': 7.52, '起点前20周量价相关系数': -0.292, '起点当周价涨': 0, '起点当周量增': 1, '起点当周价涨量增': 0, '起点前10周波动率': 14.22, '起点前20周波动率': 17.68, '90%成本集中度': 7.4, '筹码集中度': 47.91, '盈利筹码比例': 85.71, '起点价格': 13.68, '起点日期': '2025-02-07'}"
002705,新宝股份,0.999,2025-12-31,14.26,14.26,115.24,{},"{'起点当周量比': 0.9, '起点前10周均量': 419645.0, '起点前20周均量': 465346.0, '起点前40周均量': 374836.0, '成交量萎缩程度': 0.9, '起点前40周最大量': 1034084.0, '最大量对应最低价': 13.72, '最大量对应日期': '2024-11-01', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.37, '价格相对位置': 60.12, '相对高点跌幅': 11.89, '起点前20周最高价': 16.74, '起点前20周最低价': 11.75, '起点前40周最高价': 17.05, '起点前40周最低价': 11.36, '起点前20周波动幅度': 42.47, '价格相对MA5': 0.22, 'MA5值': 14.72, '价格相对MA10': 1.79, 'MA10值': 14.49, '价格相对MA20': 3.57, 'MA20值': 14.24, '价格相对MA40': 6.36, 'MA40值': 13.87, 'MA20斜率': 5.31, '起点前20周量价相关系数': -0.248, '起点当周价涨': 0, '起点当周量增': 1, '起点当周价涨量增': 0, '起点前10周波动率': 8.12, '起点前20周波动率': 18.61, '90%成本集中度': 7.75, '筹码集中度': 55.0, '盈利筹码比例': 82.35, '起点价格': 14.75, '起点日期': '2025-02-07'}"
