序号,扫描日期,排名,股票代码,股票名称,匹配度,流通市值(亿元),买入日期,买入价格
87,2025-07-14,3,603386,骏亚科技,0.953,,2025-07-14,13.25
88,2025-07-21,1,600894,广日股份,0.955,,2025-07-21,10.02
89,2025-07-21,2,000722,湖南发展,0.954,,2025-07-21,13.38
90,2025-07-21,3,603386,骏亚科技,0.953,,2025-07-21,13.50
91,2025-07-28,1,600894,广日股份,0.955,,2025-07-28,10.17
92,2025-07-28,2,000722,湖南发展,0.954,,2025-07-28,12.79
93,2025-07-28,3,603386,骏亚科技,0.953,,2025-07-28,14.84
94,2025-08-04,1,600894,广日股份,0.955,,2025-08-04,9.97
95,2025-08-04,2,000722,湖南发展,0.954,,2025-08-04,12.39
96,2025-08-04,3,603386,骏亚科技,0.953,,2025-08-04,14.18
97,2025-08-11,1,600894,广日股份,0.955,,2025-08-11,10.16
98,2025-08-11,2,000722,湖南发展,0.954,,2025-08-11,12.60
99,2025-08-11,3,603386,骏亚科技,0.953,,2025-08-11,14.57
100,2025-08-18,1,600894,广日股份,0.955,,2025-08-18,10.52
101,2025-08-18,2,000722,湖南发展,0.954,,2025-08-18,12.93
102,2025-08-18,3,603386,骏亚科技,0.953,,2025-08-18,15.23
103,2025-08-25,1,600894,广日股份,0.955,,2025-08-25,10.76
104,2025-08-25,2,000722,湖南发展,0.954,,2025-08-25,13.06
105,2025-08-25,3,603386,骏亚科技,0.953,,2025-08-25,15.60
106,2025-09-01,1,600894,广日股份,0.955,,2025-09-01,10.19
107,2025-09-01,2,000722,湖南发展,0.954,,2025-09-01,12.76
108,2025-09-01,3,603386,骏亚科技,0.953,,2025-09-01,15.25
109,2025-09-08,1,600894,广日股份,0.955,,2025-09-08,10.21
110,2025-09-08,2,000722,湖南发展,0.954,,2025-09-08,12.38
111,2025-09-08,3,603386,骏亚科技,0.953,,2025-09-08,15.44
112,2025-09-15,1,600894,广日股份,0.955,,2025-09-15,9.90
113,2025-09-15,2,000722,湖南发展,0.954,,2025-09-15,12.95
114,2025-09-15,3,603386,骏亚科技,0.953,,2025-09-15,15.03
115,2025-09-22,1,600894,广日股份,0.955,,2025-09-22,9.85
116,2025-09-22,2,000722,湖南发展,0.954,,2025-09-22,12.43
117,2025-09-22,3,603386,骏亚科技,0.953,,2025-09-22,14.88
118,2025-09-29,1,600894,广日股份,0.955,,2025-09-29,9.73
119,2025-09-29,2,000722,湖南发展,0.954,,2025-09-29,12.19
120,2025-09-29,3,603386,骏亚科技,0.953,,2025-09-29,14.15
121,2025-10-09,1,600894,广日股份,0.955,,2025-10-09,9.90
122,2025-10-09,2,000722,湖南发展,0.954,,2025-10-09,12.31
123,2025-10-09,3,603386,骏亚科技,0.953,,2025-10-09,13.94
124,2025-10-13,1,600894,广日股份,0.955,,2025-10-13,9.97
125,2025-10-13,2,000722,湖南发展,0.954,,2025-10-13,12.24
126,2025-10-13,3,603386,骏亚科技,0.953,,2025-10-13,13.72
127,2025-10-20,1,600894,广日股份,0.955,,2025-10-20,9.84
128,2025-10-20,2,000722,湖南发展,0.954,,2025-10-20,12.19
129,2025-10-20,3,603386,骏亚科技,0.953,,2025-10-20,13.64
130,2025-10-27,1,600894,广日股份,0.955,,2025-10-27,9.67
131,2025-10-27,2,000722,湖南发展,0.954,,2025-10-27,12.90
132,2025-10-27,3,603386,骏亚科技,0.953,,2025-10-27,14.06
133,2025-11-03,1,600894,广日股份,0.955,,2025-11-03,9.59
134,2025-11-03,2,000722,湖南发展,0.954,,2025-11-03,13.00
135,2025-11-03,3,603386,骏亚科技,0.953,,2025-11-03,12.92
136,2025-11-10,1,600894,广日股份,0.955,,2025-11-10,9.78
137,2025-11-10,2,000722,湖南发展,0.954,,2025-11-10,13.88
138,2025-11-10,3,603386,骏亚科技,0.953,,2025-11-10,12.79
139,2025-11-17,1,301009,可靠股份,0.961,,2025-11-17,14.47
140,2025-11-17,2,002198,嘉应制药,0.960,,2025-11-17,8.43
141,2025-11-17,3,600894,广日股份,0.955,,2025-11-17,9.62
142,2025-11-24,1,301009,可靠股份,0.961,,2025-11-24,13.41
143,2025-11-24,2,002198,嘉应制药,0.960,,2025-11-24,6.92
144,2025-11-24,3,600814,杭州解百,0





































































































































































































































































































































































































































































































.957,,2025-11-24,7.43
145,2025-12-01,1,301009,可靠股份,0.961,,2025-12-01,13.75
146,2025-12-01,2,002198,嘉应制药,0.960,,2025-12-01,7.42
147,2025-12-01,3,600814,杭州解百,0.957,,2025-12-01,7.69
148,2025-12-08,1,301009,可靠股份,0.961,,2025-12-08,12.73
149,2025-12-08,2,002198,嘉应制药,0.960,,2025-12-08,7.37
150,2025-12-08,3,600814,杭州解百,0.957,,2025-12-08,7.57
151,2025-12-15,1,301009,可靠股份,0.961,,2025-12-15,12.31
152,2025-12-15,2,002198,嘉应制药,0.960,,2025-12-15,6.93
153,2025-12-15,3,600814,杭州解百,0.957,,2025-12-15,8.02
154,2025-12-22,1,301009,可靠股份,0.961,,2025-12-22,12.98
155,2025-12-22,2,002198,嘉应制药,0.960,,2025-12-22,7.40
156,2025-12-22,3,600814,杭州解百,0.957,,2025-12-22,8.66
157,2025-12-29,1,301009,可靠股份,0.961,,2025-12-29,12.68
158,2025-12-29,2,002198,嘉应制药,0.960,,2025-12-29,7.23
159,2025-12-29,3,600814,杭州解百,0.957,,2025-12-29,8.48
