序号,扫描日期,排名,股票代码,股票名称,匹配度,买入日期,买入价格
81,2025-06-30,3,002655,共达电声,0.948,2025-06-30,12.96
82,2025-07-07,1,002096,易普力,0.958,2025-07-07,12.3
83,2025-07-07,2,300463,迈克生物,0.95,2025-07-07,11.93
84,2025-07-07,3,002655,共达电声,0.948,2025-07-07,12.86
85,2025-07-14,1,002096,易普力,0.958,2025-07-14,12.94
86,2025-07-14,2,300463,迈克生物,0.95,2025-07-14,12.29
87,2025-07-14,3,002655,共达电声,0.948,2025-07-14,13.18
88,2025-07-21,1,002096,易普力,0.958,2025-07-21,13.87
89,2025-07-21,2,300463,迈克生物,0.95,2025-07-21,12.58
90,2025-07-21,3,688007,光峰科技,0.949,2025-07-21,14.74
91,2025-07-28,1,002096,易普力,0.958,2025-07-28,14.55
92,2025-07-28,2,300463,迈克生物,0.95,2025-07-28,13.02
93,2025-07-28,3,688007,光峰科技,0.949,2025-07-28,15.12
94,2025-08-04,1,002096,易普力,0.958,2025-08-04,13.98
95,2025-08-04,2,300463,迈克生物,0.95,2025-08-04,12.74
96,2025-08-04,3,688007,光峰科技,0.949,2025-08-04,15.36
97,2025-08-11,1,002096,易普力,0.958,2025-08-11,14.25
98,2025-08-11,2,300463,迈克生物,0.95,2025-08-11,12.76
99,2025-08-11,3,688007,光峰科技,0.949,2025-08-11,16.39
100,2025-08-18,1,002096,易普力,0.958,2025-08-18,13.95
101,2025-08-18,2,300463,迈克生物,0.95,2025-08-18,12.66
102,2025-08-18,3,688007,光峰科技,0.949,2025-08-18,18.25
103,2025-08-25,1,002096,易普力,0.958,2025-08-25,14.07
104,2025-08-25,2,300463,迈克生物,0.95,2025-08-25,12.93
105,2025-08-25,3,688007,光峰科技,0.949,2025-08-25,20.45
106,2025-09-01,1,002096,易普力,0.958,2025-09-01,13.85
107,2025-09-01,2,300463,迈克生物,0.95,2025-09-01,12.33
108,2025-09-01,3,688007,光峰科技,0.949,2025-09-01,22.95
109,2025-09-08,1,002096,易普力,0.958,2025-09-08,13.96
110,2025-09-08,2,300463,迈克生物,0.95,2025-09-08,12.47
111,2025-09-08,3,688007,光峰科技,0.949,2025-09-08,21.84
112,2025-09-15,1,002096,易普力,0.958,2025-09-15,13.72
113,2025-09-15,2,300463,迈克生物,0.95,2025-09-15,12.18
114,2025-09-15,3,688007,光峰科技,0.949,2025-09-15,23.73
115,2025-09-22,1,002096,易普力,0.958,2025-09-22,13.64
116,2025-09-22,2,300404,博济医药,0.951,2025-09-22,10.31
117,2025-09-22,3,300463,迈克生物,0.95,2025-09-22,11.79
118,2025-09-29,1,002096,易普力,0.958,2025-09-29,13.63
119,2025-09-29,2,300404,博济医药,0.951,2025-09-29,10.0
120,2025-09-29,3,300463,迈克生物,0.95,2025-09-29,11.61
121,2025-10-09,1,002096,易普力,0.958,2025-10-09,13.89
122,2025-10-09,2,300404,博济医药,0.951,2025-10-09,10.01
123,2025-10-09,3,300463,迈克生物,0.95,2025-10-09,11.54
124,2025-10-13,1,002096,易普力,0.958,2025-10-13,13.78
125,2025-10-13,2,300404,博济医药,0.951,2025-10-13,9.76
126,2025-10-13,3,300463,迈克生物,0.95,2025-10-13,11.43
127,2025-10-20,1,002096,易普力,0.958,2025-10-20,13.12
128,2025-10-20,2,300404,博济医药,0.951,2025-10-20,9.83
129,2025-10-20,3,300463,迈克生物,0.95,2025-10-20,11.51
130,2025-10-27,1,002096,易普力,0.958,2025-10-27,13.33
131,2025-10-27,2,300404,博济医药,0.951,2025-10-27,10.1
132,2025-10-27,3,300463,迈克生物,0.95,2025-10-27,11.64
133,2025-11-03,1,002096,易普力,0.958,2025-11-03,14.04
134,2025-11-03,2,300404,博济医药,0.951,2025-11-03,10.15
135,2025-11-03,3,300463,迈克生物,0.95,2025-11-03,11.76
136,2025-11-10,1,002096,易普力,0.958,2025-11-10,14.07
137,2025-11-10,2,300404,博济医药,0.951,2025-11-10,10.14
138,2025-11-10,3,300463,迈克生物,0.95,2025-11-10,12.0
139,2025-11-17,1,002096,易普力,0.958,2025-11-17,14.05
140,2025-11-17,2,300404,博济医药,0.951,2025-11-17,10.61
141,2025-11-17,3,300463,迈克生物,0.95,2025-11-17,12.04
142,2025-11-24,1,002096,易普力,0.958,2025-11-24,13.37
143,2025-11-24,2,300404,博济医药,0.951,2025-11-24,9.83
