股票代码,股票名称,买点日期,匹配度,状态
000592,平潭发展,N/A,0.0,未找到买点
002104,恒宝股份,N/A,0.0,未找到买点
002759,天际股份,N/A,0.0,未找到买点
300436,广生堂,N/A,0.0,未找到买点
301005,超捷股份,N/A,0.0,未找到买点
301232,飞沃科技,N/A,0.0,未找到买点
002788,鹭燕医药,N/A,0.0,未找到买点
603778,国晟科技,N/A,0.0,未找到买点
603122,合富中国,N/A,0.0,未找到买点
600343,航天动力,N/A,0.0,未找到买点
603216,梦天家居,N/A,0.0,未找到买点
