股票代码,股票名称,匹配度,价格,日期,核心特征匹配,流通市值,1周后收益,2周后收益,4周后收益,8周后收益,扫描周
000007,全新好,1.0,9.95,2025-12-05,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,6.03,18.09,14.97,,2025-12-05
000008,神州高铁,1.0,3.05,2025-12-05,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-5.25,-4.59,-6.56,,2025-12-05
000009,中国宝安,1.0,10.25,2025-12-05,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,0.39,-3.02,-3.9,,2025-12-05
000010,美丽生态,1.0,3.73,2025-12-05,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-4.29,-1.61,-5.36,,2025-12-05
000011,深物业A,1.0,9.43,2025-12-05,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-4.98,-2.76,-4.45,,2025-12-05
000007,全新好,1.0,10.55,2025-12-12,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,11.37,7.96,,,2025-12-12
000008,神州高铁,1.0,2.89,2025-12-12,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,0.69,0.35,,,2025-12-12
000009,中国宝安,1.0,10.29,2025-12-12,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-3.4,-1.26,,,2025-12-12
000010,美丽生态,1.0,3.57,2025-12-12,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,2.8,-0.28,,,2025-12-12
000011,深物业A,1.0,8.96,2025-12-12,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,2.34,0.89,,,2025-12-12
000006,深振业Ａ,1.0,9.78,2025-12-19,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,4.19,1.74,,,2025-12-19
000007,全新好,1.0,11.75,2025-12-19,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-3.06,-2.64,,,2025-12-19
000008,神州高铁,1.0,2.91,2025-12-19,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",0,-0.34,-2.06,,,2025-12-19
