股票代码,股票名称,匹配度,买入价格,扫描日期
000006,深振业Ａ,1.0,6.45,2025-06-30
000004,*ST国华,1.0,8.85,2025-06-30
000010,美丽生态,1.0,3.01,2025-06-30
000007,全新好,1.0,7.61,2025-06-30
000011,深物业A,1.0,8.62,2025-07-07
000006,深振业Ａ,1.0,6.35,2025-07-07
000004,*ST国华,1.0,9.21,2025-07-07
000010,美丽生态,1.0,2.98,2025-07-07
000007,全新好,1.0,7.23,2025-07-07
000011,深物业A,1.0,8.81,2025-07-14
000006,深振业Ａ,1.0,6.36,2025-07-14
000004,*ST国华,1.0,8.86,2025-07-14
000010,美丽生态,1.0,3.9,2025-07-14
000007,全新好,1.0,7.13,2025-07-14
000011,深物业A,1.0,8.73,2025-07-21
000006,深振业Ａ,1.0,6.26,2025-07-21
000004,*ST国华,1.0,8.81,2025-07-21
000010,美丽生态,1.0,3.5,2025-07-21
000007,全新好,1.0,7.22,2025-07-21
000011,深物业A,1.0,8.78,2025-07-28
000006,深振业Ａ,1.0,6.4,2025-07-28
000004,*ST国华,1.0,8.83,2025-07-28
000010,美丽生态,1.0,3.46,2025-07-28
000007,全新好,1.0,7.28,2025-07-28
000011,深物业A,1.0,8.48,2025-08-04
000006,深振业Ａ,1.0,6.16,2025-08-04
000004,*ST国华,1.0,8.93,2025-08-04
000010,美丽生态,1.0,3.93,2025-08-04
000007,全新好,1.0,7.19,2025-08-04
000011,深物业A,1.0,9.56,2025-08-11
000006,深振业Ａ,1.0,6.78,2025-08-11
000004,*ST国华,1.0,8.94,2025-08-11
000010,美丽生态,1.0,5.1,2025-08-11
000007,全新好,1.0,7.58,2025-08-11
000011,深物业A,1.0,10.18,2025-08-18
000006,深振业Ａ,1.0,7.7,2025-08-18
000004,*ST国华,1.0,9.41,2025-08-18
000010,美丽生态,1.0,4.66,2025-08-18
000007,全新好,1.0,7.52,2025-08-18
000011,深物业A,1.0,9.54,2025-08-25
000006,深振业Ａ,1.0,7.33,2025-08-25
000004,*ST国华,1.0,10.24,2025-08-25
000010,美丽生态,1.0,4.84,2025-08-25
000007,全新好,1.0,7.61,2025-08-25
000011,深物业A,1.0,9.13,2025-09-01
000006,深振业Ａ,1.0,7.21,2025-09-01
000004,*ST国华,1.0,11.08,2025-09-01
000010,美丽生态,1.0,4.87,2025-09-01
000007,全新好,1.0,7.63,2025-09-01
000011,深物业A,1.0,9.12,2025-09-08
000006,深振业Ａ,1.0,7.62,2025-09-08
000004,*ST国华,1.0,10.61,2025-09-08
000010,美丽生态,1.0,4.63,2025-09-08
000007,全新好,1.0,7.62,2025-09-08
000011,深物业A,1.0,9.17,2025-09-15
000006,深振业Ａ,1.0,7.48,2025-09-15
000004,*ST国华,1.0,10.73,2025-09-15
000010,美丽生态,1.0,4.83,2025-09-15
000007,全新好,1.0,7.54,2025-09-15
000011,深物业A,1.0,9.02,2025-09-22
000006,深振业Ａ,1.0,7.92,2025-09-22
000004,*ST国华,1.0,10.56,2025-09-22
000010,美丽生态,1.0,4.47,2025-09-22
000007,全新好,1.0,7.05,2025-09-22
000011,深物业A,1.0,9.09,2025-09-29
000006,深振业Ａ,1.0,9.35,2025-09-29
000004,*ST国华,1.0,10.59,2025-09-29
000010,美丽生态,1.0,4.3,2025-09-29
000007,全新好,1.0,7.2,2025-09-29
000011,深物业A,1.0,9.13,2025-10-09
000006,深振业Ａ,1.0,10.85,2025-10-09
000004,*ST国华,1.0,11.68,2025-10-09
000010,美丽生态,1.0,4.12,2025-10-09
000007,全新好,1.0,7.38,2025-10-09
000011,深物业A,1.0,9.85,2025-10-13
000006,深振业Ａ,1.0,13.13,2025-10-13
000004,*ST国华,1.0,12.87,2025-10-13
000010,美丽生态,1.0,4.07,2025-10-13
000007,全新好,1.0,7.24,2025-10-13
000011,深物业A,1.0,9.71,2025-10-20
000006,深振业Ａ,1.0,12.02,2025-10-20
000004,*ST国华,1.0,12.85,2025-10-20
000010,美丽生态,1.0,4.15,2025-10-20
000007,全新好,1.0,7.19,2025-10-20
000011,深物业A,1.0,10.05,2025-10-27
000006,深振业Ａ,1.0,13.3,2025-10-27
000004,*ST国华,1.0,13.36,2025-10-27
000010,美丽生态,1.0,3.85,2025-10-27
000007,全新好,1.0,7.31,2025-10-27
000011,深物业A,1.0,10.73,2025-11-03
000006,深振业Ａ,1.0,12.37,2025-11-03
000004,*ST国华,1.0,12.89,2025-11-03
000010,美丽生态,1.0,4.05,2025-11-03
000007,全新好,1.0,8.6,2025-11-03
000011,深物业A,1.0,10.11,2025-11-10
000006,深振业Ａ,1.0,11.9,2025-11-10
000004,*ST国华,1.0,11.98,2025-11-10
000010,美丽生态,1.0,3.94,2025-11-10
000007,全新好,1.0,9.79,2025-11-10
000011,深物业A,1.0,10.43,2025-11-17
000006,深振业Ａ,1.0,11.58,2025-11-17
000004,*ST国华,1.0,11.35,2025-11-17
000010,美丽生态,1.0,4.06,2025-11-17
000007,全新好,1.0,9.9,2025-11-17
000011,深物业A,1.0,9.66,2025-11-24
000006,深振业Ａ,1.0,10.42,2025-11-24
000004,*ST国华,1.0,10.75,2025-11-24
000010,美丽生态,1.0,3.8,2025-11-24
000007,全新好,1.0,9.39,2025-11-24
000011,深物业A,1.0,9.68,2025-12-01
