股票代码,股票名称,选中次数
000006,深振业Ａ,53
000012,南  玻Ａ,53
000020,深华发Ａ,53
000011,深物业A,45
000010,美丽生态,31
000019,深粮控股,14
000030,富奥股份,8
000058,深 赛 格,8
